"ID","game_date","team_abb_home","team_abb_away","pts_home","fgm_home","fga_home","fg_pct_home","fg3m_home","fg3a_home","fg3_pct_home","ftm_home","fta_home","ft_pct_home","dreb_home","oreb_home","reb_home","ast_home","stl_home","blk_home","tov_home","pf_home","pts_2nd_chance_home","pts_in_paint_home","fgm_away","fga_away","fg_pct_away","fg3m_away","fg3a_away","fg3_pct_away","ftm_away","fta_away","oreb_away","dreb_away","reb_away","ast_away","stl_away","blk_away","tov_away","pf_away","pts_away","pts_2nd_chance_away","ft_pct_away","pts_paint_away","wl_home","game_id"
"[411826,659807210]","","SAS","CHA",102,40,99,0.40399999999999997,7,34,0.20600000000000002,15,21,0.20600000000000002,30,14,44,22,8,8,15,19,,,48,94,0.7140000000000001,13,29,0.44799999999999995,20,23,14,37,51,26,7,10,15,20,129,,0.44799999999999995,,"l",11060
"[411826,659807213]","","UTA","DEN",123,42,83,0.506,16,38,0.42100000000000004,23,31,0.42100000000000004,32,11,43,27,10,1,20,21,,,40,83,0.742,5,22,0.22699999999999998,17,18,10,25,35,21,10,3,21,23,102,,0.22699999999999998,,"w",11061
"[411826,659807220]","","PHX","DAL",107,40,85,0.47100000000000003,8,22,0.364,19,22,0.364,32,8,40,25,4,5,12,29,,,35,75,0.8640000000000001,14,35,0.4,21,34,5,35,40,17,6,4,12,22,105,,0.4,,"w",11062
"[411826,659807222]","","SAC","POR",108,39,85,0.45899999999999996,17,44,0.386,13,19,0.386,37,4,41,27,8,5,16,25,,,39,88,0.684,11,28,0.39299999999999996,26,33,11,33,44,20,11,2,11,17,115,,0.39299999999999996,,"l",11063
"[411826,659807224]","","PHI","MIL",88,36,83,0.434,5,24,0.20800000000000002,11,13,0.20800000000000002,38,6,44,17,6,5,10,14,,,34,84,0.846,13,42,0.31,9,14,7,41,48,24,4,6,14,16,90,,0.31,,"l",11064
"[411826,659807231]","","LAL","LAC",97,33,94,0.35100000000000003,9,45,0.2,22,26,0.2,30,8,38,23,12,5,9,24,,,37,80,0.846,9,29,0.31,20,31,10,48,58,18,7,7,22,24,103,,0.31,,"l",11065
"[411826,659807235]","","CHA","NOP",112,44,97,0.45399999999999996,13,34,0.382,11,14,0.382,26,11,37,30,9,4,14,24,,,42,89,0.7859999999999999,8,22,0.364,32,37,15,38,53,23,9,7,16,14,124,,0.364,,"l",11066
"[411826,659807237]","","IND","SAS",134,51,104,0.49,11,35,0.314,21,22,0.314,28,14,42,32,8,6,16,34,,,44,81,0.955,17,31,0.5479999999999999,32,44,7,30,37,34,9,4,17,22,137,,0.5479999999999999,,"l",11067
"[411826,659807241]","","WAS","CHI",102,41,80,0.512,10,26,0.385,10,11,0.385,34,5,39,26,8,8,17,22,,,33,79,0.909,7,27,0.259,27,33,10,28,38,19,8,3,13,15,100,,0.259,,"w",11068
"[411826,659807243]","","ATL","ORL",108,40,89,0.449,13,31,0.419,15,16,0.419,37,9,46,26,10,2,17,22,,,33,80,0.938,8,34,0.235,24,30,10,34,44,16,9,7,19,19,98,,0.235,,"w",11069
"[411826,659807244]","","BKN","TOR",109,38,80,0.475,13,35,0.371,20,29,0.371,31,13,44,26,3,13,13,19,,,41,84,0.69,11,28,0.39299999999999996,12,18,8,33,41,25,9,4,15,21,105,,0.39299999999999996,,"w",11070
"[411826,659807246]","","MIA","BOS",104,42,92,0.457,8,26,0.308,12,15,0.308,25,11,36,23,8,3,10,18,,,41,79,0.8,14,33,0.424,15,15,12,31,43,17,4,11,20,23,111,,0.424,,"l",11071
"[411826,659807249]","","NYK","DET",130,50,95,0.526,16,38,0.42100000000000004,14,22,0.42100000000000004,39,11,50,29,4,6,12,26,,,39,90,0.636,9,36,0.25,19,32,13,36,49,26,6,2,15,21,106,,0.25,,"w",11072
"[411826,659807251]","","HOU","MEM",122,44,93,0.473,16,35,0.457,18,30,0.457,32,13,45,18,4,6,14,22,,,45,98,0.6,19,42,0.452,20,29,17,33,50,26,8,10,12,21,129,,0.452,,"l",11073
"[411826,659807253]","","MIN","UTA",126,49,107,0.45799999999999996,11,33,0.33299999999999996,17,23,0.33299999999999996,39,22,61,20,5,7,20,22,,,49,111,0.7390000000000001,20,50,0.4,14,21,19,35,54,39,11,8,13,23,132,,0.4,,"l",11074
"[411826,659807255]","","GSW","DEN",123,42,88,0.47700000000000004,15,44,0.341,24,27,0.341,28,7,35,34,10,3,19,23,,,46,86,0.889,15,34,0.441,21,25,12,29,41,30,10,2,20,22,128,,0.441,,"l",11075
"[411826,659807257]","","POR","PHX",113,36,82,0.439,10,29,0.345,31,36,0.345,35,13,48,14,8,5,21,19,,,43,94,0.861,10,27,0.37,15,21,9,32,41,31,14,1,17,29,111,,0.37,,"w",11076
"[411826,659807260]","","PHI","SAS",105,37,84,0.44,10,31,0.32299999999999995,21,28,0.32299999999999995,28,12,40,26,6,5,12,15,,,43,89,0.75,16,38,0.42100000000000004,12,15,12,31,43,27,5,7,14,20,114,,0.42100000000000004,,"l",11077
"[411826,659807263]","","IND","DET",124,45,103,0.43700000000000006,16,42,0.381,18,24,0.381,39,20,59,28,7,15,11,21,,,37,95,0.75,18,42,0.429,23,30,17,36,53,26,5,3,14,20,115,,0.429,,"w",11078
